,_rxn_M_organic,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_solvent,_stoich_mmol_org,_stoich_mmol_solv,_stoich_mmol_acid,_stoich_mmol_inorg,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_rxn_organic-inchikey,_solv_GBL,_solv_DMSO,_solv_DMF,_out_crystalscore
10004,1.4656759167502451,6.78514012600478,0.07195806018895175,13.0647922621038,0.7328379583751226,6.5323961310519,3.39257006300239,0.035979030094475874,0.11218516814856955,0.005507784490203939,0.5193454277635932,0.11769295263877348,0.6370383804023667,0.07383782917206719,0.003625103541010516,0.0774629327130777,20.368474537829204,94.2929827206008,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
9976,1.861289621209837,2.9154898978926798,0.21587418056685528,14.934728441959159,0.9306448106049185,7.467364220979579,1.4577449489463399,0.10793709028342764,0.12462828691150078,0.014454509930047085,0.19521546101244153,0.13908279684154787,0.33429825785398937,0.10427265290387962,0.012093643699858917,0.11636629660373853,8.622103932588658,13.505505337586055,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
10003,0.3409428049321241,6.480046776150608,0.26838065200733496,17.595831121516433,0.17047140246606204,8.797915560758216,3.240023388075304,0.13419032600366748,0.019376339916971262,0.015252513516065477,0.368271707735744,0.03462885343303674,0.4029005611687807,0.014161178519897774,0.011147284146732656,0.025308462666630428,1.2703702833347539,24.144984847765798,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
9927,0.6352827254930757,10.633523307501877,0.29124741593443537,12.296901396560534,0.31764136274653787,6.148450698280267,5.316761653750938,0.14562370796721769,0.05166201671510235,0.02368461830684418,0.8647319324261714,0.07534663502194652,0.940078567448118,0.027704795427558195,0.012701352883483107,0.0404061483110413,2.181247594780681,36.51027520153401,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
9977,1.3322292382648762,4.2937214859874,0.1239277703254169,15.939505113665259,0.6661146191324381,7.9697525568326295,2.1468607429937,0.06196388516270845,0.08358033883515802,0.007774881932762838,0.26937608510231015,0.09135522076792085,0.360731305870231,0.06584363752876402,0.006124963298119952,0.07196860082688397,10.750046053169758,34.646967945220766,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
10021,0.7122848108429711,1.216771323743996,0.4867422567671386,20.77946461920926,0.35614240542148556,10.38973230960463,0.608385661871998,0.2433711283835693,0.03427830427279201,0.023424196228673626,0.05855643280718457,0.05770250050146564,0.11625893330865021,0.03238212268182001,0.02212843406615085,0.05451055674797086,1.4633716323991444,2.4998267703847814,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
9982,0.7091223517091058,14.206387138822508,0.8155246821414531,7.499013907523243,0.3545611758545529,3.7495069537616215,7.103193569411254,0.40776234107072656,0.0945620798219473,0.108750922747762,1.8944340301289775,0.2033130025697093,2.097747032698687,0.03267031787134342,0.03757243095394232,0.07024274882528574,0.8695289881932822,17.4199352268757,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,3.0
9928,0.6832332597451877,10.071692374538346,0.4557343811966944,12.32976248676146,0.34161662987259384,6.16488124338073,5.035846187269173,0.2278671905983472,0.05541333504832549,0.036962137890816565,0.8168602100285697,0.09237547293914206,0.9092356829677117,0.030499503892737093,0.02034396355140352,0.050843467444140616,1.4991918273778537,22.099917825140814,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
9945,1.1273005502791318,0.4240712578752988,0.8075293421204586,19.229563366869357,0.5636502751395659,9.614781683434678,0.2120356289376494,0.4037646710602293,0.05862330458430271,0.041994159030763645,0.022053088246711407,0.10061746361506635,0.12267055186177776,0.05735837527272531,0.04108804084022958,0.09844641611295489,1.3959871071916705,0.525146562181564,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
9998,1.5830120268022252,4.6117749293938735,0.6875992418055389,13.511385329739785,0.7915060134011126,6.755692664869892,2.3058874646969367,0.34379962090276944,0.11716134120739434,0.050890358392197625,0.3413250985628349,0.16805169959959196,0.5093767981624269,0.0873474606066248,0.037940360951065615,0.12528782155769042,2.302230617133111,6.707068084141572,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
